order_id,user_id,product_id,category,product_name,unit_price,quantity,line_total
1,1,1021,Sports,Yoga Mat,18.28,1,18.28
1,1,1000,Apparel,T-shirt,30.98,1,30.98
1,1,1014,Home,Decor,37.24,1,37.24
2,2,1014,Home,Decor,37.24,1,37.24
2,2,1022,Sports,Running Shoes,34.27,1,34.27
2,2,1001,Apparel,Jeans,17.81,1,17.81
3,2,1011,Home,Lamp,40.71,1,40.71
3,2,1008,Beauty,Cleanser,17.5,1,17.5
3,2,1022,Sports,Running Shoes,34.27,1,34.27
3,2,1008,Beauty,Cleanser,17.5,1,17.5
3,2,1020,Electronics,Speaker,56.12,1,56.12
3,2,1023,Sports,Bottle,22.7,1,22.7
4,4,1012,Home,Bedding,32.74,1,32.74
4,4,1005,Apparel,Sweater,22.86,1,22.86
5,4,1002,Apparel,Jacket,35.35,2,70.7
5,4,1025,Sports,Gloves,21.04,1,21.04
5,4,1004,Apparel,Shoes,8.88,3,26.64
6,8,1019,Electronics,Mouse,58.95,1,58.95
6,8,1010,Beauty,Makeup,23.02,1,23.02
6,8,1015,Home,Storage,33.56,1,33.56
7,11,1001,Apparel,Jeans,21.62,1,21.62
7,11,1013,Home,Cookware,44.62,1,44.62
8,13,1009,Beauty,Sunscreen,18.52,1,18.52
8,13,1025,Sports,Gloves,31.56,1,31.56
9,13,1004,Apparel,Shoes,11.07,3,33.21
9,13,1015,Home,Storage,22.38,1,22.38
10,14,1017,Electronics,Smartwatch,39.86,1,39.86
10,14,1023,Sports,Bottle,22.7,1,22.7
10,14,1007,Beauty,Serum,15.65,1,15.65
10,14,1023,Sports,Bottle,22.7,1,22.7
11,17,1025,Sports,Gloves,21.04,1,21.04
11,17,1002,Apparel,Jacket,35.35,1,35.35
11,17,1003,Apparel,Dress,37.22,1,37.22
11,17,1013,Home,Cookware,44.62,1,44.62
11,17,1024,Sports,Backpack,20.4,1,20.4
11,17,1002,Apparel,Jacket,35.35,1,35.35
12,19,1009,Beauty,Sunscreen,18.52,1,18.52
13,21,1014,Home,Decor,37.24,1,37.24
13,21,1003,Apparel,Dress,37.22,1,37.22
13,21,1003,Apparel,Dress,37.22,3,111.66
14,21,1023,Sports,Bottle,34.06,1,34.06
14,21,1014,Home,Decor,37.24,1,37.24
